ROADID,total_congestion_cost
19382,117.38
22117,117.38
19554,117.38
22123,117.38
1975,117.38
22107,117.38
1447,117.38
1927,117.38
4964,117.38
22106,117.38
24964,117.38
22092,117.38
22094,117.38
1444,117.38
30139,117.38
22051,117.38
22115,117.38
3641,117.38
3680,117.38
19406,117.38
1702,117.38
21085,117.38
19427,117.38
30088,117.38
22079,117.38
22050,117.38
22096,117.38
22091,117.38
10431,117.38
5820,117.38
22078,117.38
22113,117.38
19383,117.38
149,117.38
1926,117.38
19352,117.38
19555,117.38
19380,117.38
19142,117.38
22085,117.38
151,117.38
19353,117.38
22099,117.38
21084,117.38
22083,117.38
5602,117.38
19407,117.38
3178,117.38
1042,117.38
1974,117.38
1445,117.38
3429,117.38
30090,117.38
5603,117.38
10430,117.38
2460,117.38
5572,117.38
22090,117.38
19144,117.38
19367,117.38
22076,117.38
19366,117.38
1446,117.38
22098,117.38
5801,117.38
5573,117.38
1043,117.38
22043,117.38
22120,117.38
3179,117.38
4863,117.38
148,117.38
5821,117.38
22052,117.38
22081,117.38
30092,117.38
22116,117.38
3428,117.38
5571,117.38
2458,117.38
5800,117.38
3640,117.38
22087,117.38
22088,117.38
1893,117.38
21103,117.38
19145,117.38
19325,117.38
3681,117.38
22089,117.38
22122,117.38
19143,117.38
30141,117.38
22121,117.38
21106,117.38
19426,117.38
4966,117.38
21052,117.38
22042,117.38
22097,117.38
1890,117.38
22086,117.38
22074,117.38
22112,117.38
3181,117.38
1703,117.38
22084,117.38
30086,117.38
22114,117.38
4862,117.38
22095,117.38
24965,117.38
5570,117.38
22093,117.38
22061,117.42
21075,117.45999999999998
22072,117.45999999999998
22054,117.45999999999998
22057,117.45999999999998
5600,117.46
1891,117.5
21049,117.5
25020,117.5
21061,117.54
5823,117.57999999999998
3180,117.57999999999998
21068,117.57999999999998
4688,117.72
19424,117.75
22080,117.76
21053,117.79999999999998
22053,117.79999999999998
19324,117.84
22118,117.95
14310,118.04
22082,118.29999999999998
21065,118.45999999999998
14563,118.51999999999998
22100,118.62
12780,118.65999999999998
32041,118.65999999999998
21105,118.73
12772,118.78
4689,118.87999999999998
22103,119.2
21102,119.54
20181,119.78
14285,119.82
19433,119.82
19552,120.07999999999998
4504,121.04
22104,121.16
12774,121.48
19430,121.74
2653,122.69
25255,122.93
12212,122.93
14429,122.98999999999998
25254,123.28999999999998
2654,123.35000000000002
2650,123.46000000000002
12769,123.49
12765,123.55
20990,123.65
20988,123.99
2652,124.02
20992,124.07
19431,124.6
22111,125.01999999999998
22105,125.6
19432,126.64
21089,127.02
19470,127.02
19469,127.02
21088,127.02
19471,127.02
19468,127.02
26311,127.18999999999998
22102,127.64
23787,128.26999999999998
21078,128.31
3614,128.39999999999998
3615,128.39999999999998
1928,128.39999999999998
1929,128.39999999999998
6424,128.58
19438,130.57999999999998
19439,133.64
3699,162.26
4951,162.26
4950,162.26
4781,162.26
6407,162.26
3770,162.26
6406,162.26
3701,162.26
4822,162.26
14589,162.26
14600,162.26
4948,162.26
1229,162.26
6405,162.26
1533,162.26
4823,162.26
28766,162.26
209,162.26
1532,162.26
14588,162.26
211,162.26
4780,162.26
3700,162.26
4606,162.26
1228,162.26
208,162.26
3771,162.26
6404,162.26
4607,162.26
28767,162.26
210,162.26
2812,162.26
4949,162.26
1230,162.26
14590,162.28
1248,162.45
1250,162.46
19404,162.51999999999995
5506,162.62
3698,162.72000000000003
3702,162.8
2813,162.82999999999996
28773,162.84
6056,162.88
2257,162.95
1249,163.11
24317,163.26999999999995
1231,163.29
6383,163.38
3703,163.57
28771,165.26
20321,165.91000000000003
1531,166.15
28772,171.41000000000003
24318,171.44
1530,173.27
28770,176.21
1003,176.32
6381,176.32
25682,176.32
1004,176.32
6951,176.32
21108,176.32
1599,176.32
6380,176.32
26315,176.32
130,176.44
1002,176.48
6864,177.32
25680,177.64
10402,177.77999999999997
1598,177.86
21109,178.13
24313,179.27
24312,185.33
