time,congestion_from_road,congestion_to_road
2021-10-19 16:55:00,3680.0,19367.0
2021-10-19 17:00:00,3680.0,1926.0
2021-10-19 17:40:00,3680.0,19367.0
2021-10-19 17:50:00,3680.0,21106.0
2021-10-19 17:50:00,3680.0,19367.0
2021-10-19 18:10:00,3680.0,19367.0
2021-10-19 18:15:00,3680.0,19367.0
2021-10-19 18:20:00,3680.0,19367.0
2021-10-19 18:30:00,3680.0,21106.0
2021-10-19 18:45:00,3680.0,21106.0
2021-10-19 18:45:00,3680.0,19367.0
2021-10-19 18:50:00,3680.0,1926.0
2021-10-19 19:45:00,3680.0,21106.0
2021-10-19 16:10:00,3681.0,19353.0
2021-10-19 16:20:00,3681.0,1444.0
2021-10-19 16:35:00,3681.0,3680.0
2021-10-19 16:35:00,3681.0,19353.0
2021-10-19 17:10:00,3681.0,19353.0
2021-10-19 17:15:00,3681.0,3680.0
2021-10-19 17:15:00,3681.0,1444.0
2021-10-19 17:45:00,3681.0,19353.0
2021-10-19 17:45:00,3681.0,3429.0
2021-10-19 18:05:00,3681.0,3680.0
2021-10-19 18:05:00,3681.0,1444.0
2021-10-19 18:25:00,3681.0,1444.0
2021-10-19 18:30:00,3681.0,1444.0
2021-10-19 18:40:00,3681.0,19353.0
2021-10-19 19:00:00,3681.0,3429.0
2021-10-19 18:20:00,14428.0,12768.0
2021-10-19 18:25:00,14428.0,12768.0
2021-10-19 18:25:00,14429.0,12775.0
2021-10-19 19:15:00,14429.0,14285.0
2021-10-19 19:15:00,14429.0,26317.0
2021-10-19 19:25:00,14429.0,26317.0
2021-10-19 19:25:00,14429.0,12775.0
2021-10-19 16:25:00,28766.0,4607.0
2021-10-19 16:30:00,28766.0,4607.0
2021-10-19 16:45:00,28766.0,4607.0
2021-10-19 19:15:00,28766.0,4607.0
2021-10-19 16:35:00,28767.0,28769.0
2021-10-19 17:00:00,28767.0,1533.0
2021-10-19 16:45:00,28770.0,20321.0
2021-10-19 17:05:00,28770.0,20321.0
2021-10-19 17:35:00,28770.0,20321.0
2021-10-19 18:00:00,28770.0,20321.0
2021-10-19 18:50:00,28770.0,20321.0
2021-10-19 18:55:00,28770.0,20321.0
2021-10-19 18:55:00,28770.0,1530.0
2021-10-19 19:20:00,28770.0,1530.0
2021-10-19 19:35:00,28770.0,1530.0
2021-10-19 19:45:00,28770.0,1530.0
2021-10-19 16:20:00,28771.0,4607.0
2021-10-19 16:20:00,28771.0,28767.0
2021-10-19 16:25:00,28771.0,4607.0
2021-10-19 16:25:00,28771.0,28767.0
2021-10-19 16:30:00,28771.0,4607.0
2021-10-19 16:45:00,28771.0,4607.0
2021-10-19 16:45:00,28771.0,28767.0
2021-10-19 17:15:00,28771.0,4607.0
2021-10-19 17:20:00,28771.0,4607.0
2021-10-19 17:25:00,28771.0,4607.0
2021-10-19 17:30:00,28771.0,28767.0
2021-10-19 17:45:00,28771.0,28767.0
2021-10-19 18:55:00,28771.0,4607.0
2021-10-19 19:00:00,28771.0,4607.0
2021-10-19 19:05:00,28771.0,4607.0
2021-10-19 19:15:00,28771.0,4607.0
2021-10-19 16:20:00,28772.0,24319.0
2021-10-19 16:25:00,28772.0,24319.0
2021-10-19 16:50:00,28772.0,1531.0
2021-10-19 16:50:00,28772.0,28773.0
2021-10-19 17:05:00,28772.0,24319.0
2021-10-19 17:10:00,28772.0,24319.0
2021-10-19 17:15:00,28772.0,24319.0
2021-10-19 17:55:00,28772.0,24319.0
2021-10-19 18:00:00,28772.0,24319.0
2021-10-19 16:15:00,28773.0,28766.0
2021-10-19 17:00:00,28773.0,1533.0
2021-10-19 19:50:00,28773.0,28766.0
2021-10-19 17:30:00,6258.0,6261.0
2021-10-19 17:35:00,6258.0,6261.0
2021-10-19 17:50:00,6258.0,6261.0
2021-10-19 16:25:00,6261.0,6260.0
2021-10-19 17:10:00,6261.0,6260.0
2021-10-19 17:20:00,6261.0,4825.0
2021-10-19 17:40:00,6261.0,4825.0
2021-10-19 17:55:00,6261.0,4825.0
2021-10-19 18:00:00,6261.0,4825.0
2021-10-19 18:25:00,6261.0,4825.0
2021-10-19 19:25:00,6261.0,4825.0
2021-10-19 18:30:00,130.0,1004.0
2021-10-19 16:50:00,148.0,21086.0
2021-10-19 18:30:00,148.0,151.0
2021-10-19 16:05:00,149.0,5573.0
2021-10-19 16:35:00,149.0,21084.0
2021-10-19 16:40:00,149.0,5571.0
2021-10-19 17:00:00,149.0,21084.0
2021-10-19 17:00:00,149.0,5573.0
2021-10-19 17:35:00,149.0,21084.0
2021-10-19 17:55:00,149.0,21084.0
2021-10-19 18:45:00,149.0,21084.0
2021-10-19 18:55:00,149.0,5573.0
2021-10-19 19:35:00,149.0,21084.0
2021-10-19 19:40:00,149.0,5573.0
2021-10-19 16:45:00,150.0,21086.0
2021-10-19 16:50:00,150.0,21086.0
2021-10-19 17:10:00,150.0,21086.0
2021-10-19 18:45:00,150.0,21086.0
2021-10-19 18:50:00,150.0,21086.0
2021-10-19 18:10:00,151.0,5601.0
2021-10-19 18:20:00,151.0,5820.0
2021-10-19 18:35:00,151.0,150.0
2021-10-19 16:45:00,10402.0,130.0
2021-10-19 17:35:00,10402.0,130.0
2021-10-19 18:15:00,10402.0,130.0
2021-10-19 17:05:00,10404.0,2930.0
2021-10-19 17:20:00,10404.0,10405.0
2021-10-19 17:25:00,10404.0,10405.0
2021-10-19 17:45:00,10404.0,10405.0
2021-10-19 17:50:00,10404.0,10405.0
2021-10-19 17:55:00,10404.0,10405.0
2021-10-19 18:10:00,10404.0,10405.0
